Label (Grouping),HOUSEHOLDS BY TYPE,HOUSEHOLDS BY TYPE!!Total households,HOUSEHOLDS BY TYPE!!Total households!!Married-couple household,HOUSEHOLDS BY TYPE!!Total households!!Married-couple household!!With children of the householder under 18 years,HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household,HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household!!With children of the householder under 18 years,"HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present","HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!With children of the householder under 18 years","HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone","HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone!!65 years and over","HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present","HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!With children of the householder under 18 years","HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone","HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone!!65 years and over",HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people under 18 years,HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people 65 years and over,HOUSEHOLDS BY TYPE!!Total households!!Average household size,HOUSEHOLDS BY TYPE!!Total households!!Average family size,RELATIONSHIP,RELATIONSHIP!!Population in households,RELATIONSHIP!!Population in households!!Householder,RELATIONSHIP!!Population in households!!Spouse,RELATIONSHIP!!Population in households!!Unmarried partner,RELATIONSHIP!!Population in households!!Child,RELATIONSHIP!!Population in households!!Other relatives,RELATIONSHIP!!Population in households!!Other nonrelatives,MARITAL STATUS,MARITAL STATUS!!Males 15 years and over,MARITAL STATUS!!Males 15 years and over!!Never married,"MARITAL STATUS!!Males 15 years and over!!Now married, except separated",MARITAL STATUS!!Males 15 years and over!!Separated,MARITAL STATUS!!Males 15 years and over!!Widowed,MARITAL STATUS!!Males 15 years and over!!Divorced,MARITAL STATUS!!Females 15 years and over,MARITAL STATUS!!Females 15 years and over!!Never married,"MARITAL STATUS!!Females 15 years and over!!Now married, except separated",MARITAL STATUS!!Females 15 years and over!!Separated,MARITAL STATUS!!Females 15 years and over!!Widowed,MARITAL STATUS!!Females 15 years and over!!Divorced,FERTILITY,FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months,"FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)!!Per 1,000 unmarried women","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 15 to 50 years old","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 15 to 19 years old","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 20 to 34 years old","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 35 to 50 years old",GRANDPARENTS,GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years,GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Grandparents responsible for grandchildren,GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren,GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!Less than 1 year,GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!1 or 2 years,GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!3 or 4 years,GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!5 or more years,GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years,GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years!!Who are female,GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years!!Who are married,SCHOOL ENROLLMENT,SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school,"SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Nursery school, preschool",SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Kindergarten,SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Elementary school (grades 1-8),SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!High school (grades 9-12),SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!College or graduate school,EDUCATIONAL ATTAINMENT,EDUCATIONAL ATTAINMENT!!Population 25 years and over,EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade,"EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma",EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency),"EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, no degree",EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Associate's degree,EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree,EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree,EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate or higher,EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher,VETERAN STATUS,VETERAN STATUS!!Civilian population 18 years and over,VETERAN STATUS!!Civilian population 18 years and over!!Civilian veterans,DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION,DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Total Civilian Noninstitutionalized Population,DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Total Civilian Noninstitutionalized Population!!With a disability,DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Under 18 years,DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Under 18 years!!With a disability,DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!18 to 64 years,DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!18 to 64 years!!With a disability,DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!65 years and over,DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!65 years and over!!With a disability,RESIDENCE 1 YEAR AGO,RESIDENCE 1 YEAR AGO!!Population 1 year and over,RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Same house,RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house (in the U.S. or abroad),RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house (in the U.S. or abroad)!!Different house in the U.S.,RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house (in the U.S. or abroad)!!Different house in the U.S.!!Same county,RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house (in the U.S. or abroad)!!Different house in the U.S.!!Different county,RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house (in the U.S. or abroad)!!Different house in the U.S.!!Different county!!Same state,RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house (in the U.S. or abroad)!!Different house in the U.S.!!Different county!!Different state,RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house (in the U.S. or abroad)!!Abroad,PLACE OF BIRTH,PLACE OF BIRTH!!Total population,PLACE OF BIRTH!!Total population!!Native,PLACE OF BIRTH!!Total population!!Native!!Born in United States,PLACE OF BIRTH!!Total population!!Native!!Born in United States!!State of residence,PLACE OF BIRTH!!Total population!!Native!!Born in United States!!Different state,"PLACE OF BIRTH!!Total population!!Native!!Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",PLACE OF BIRTH!!Total population!!Foreign-born,U.S. CITIZENSHIP STATUS,U.S. CITIZENSHIP STATUS!!Foreign-born population,U.S. CITIZENSHIP STATUS!!Foreign-born population!!Naturalized U.S. citizen,U.S. CITIZENSHIP STATUS!!Foreign-born population!!Not a U.S. citizen,YEAR OF ENTRY,YEAR OF ENTRY!!Population born outside the United States,YEAR OF ENTRY!!Population born outside the United States!!Native,YEAR OF ENTRY!!Population born outside the United States!!Native!!Entered 2010 or later,YEAR OF ENTRY!!Population born outside the United States!!Native!!Entered before 2010,YEAR OF ENTRY!!Population born outside the United States!!Foreign-born,YEAR OF ENTRY!!Population born outside the United States!!Foreign-born!!Entered 2010 or later,YEAR OF ENTRY!!Population born outside the United States!!Foreign-born!!Entered before 2010,WORLD REGION OF BIRTH OF FOREIGN-BORN,"WORLD REGION OF BIRTH OF FOREIGN-BORN!!Foreign-born population, excluding population born at sea","WORLD REGION OF BIRTH OF FOREIGN-BORN!!Foreign-born population, excluding population born at sea!!Europe","WORLD REGION OF BIRTH OF FOREIGN-BORN!!Foreign-born population, excluding population born at sea!!Asia","WORLD REGION OF BIRTH OF FOREIGN-BORN!!Foreign-born population, excluding population born at sea!!Africa","WORLD REGION OF BIRTH OF FOREIGN-BORN!!Foreign-born population, excluding population born at sea!!Oceania","WORLD REGION OF BIRTH OF FOREIGN-BORN!!Foreign-born population, excluding population born at sea!!Latin America","WORLD REGION OF BIRTH OF FOREIGN-BORN!!Foreign-born population, excluding population born at sea!!Northern America",LANGUAGE SPOKEN AT HOME,LANGUAGE SPOKEN AT HOME!!Population 5 years and over,LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!English only,LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Language other than English,"LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Language other than English!!Speak English less than ""very well""",LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Spanish,"LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Spanish!!Speak English less than ""very well""",LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Other Indo-European languages,"LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Other Indo-European languages!!Speak English less than ""very well""",LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Asian and Pacific Islander languages,"LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Asian and Pacific Islander languages!!Speak English less than ""very well""",LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Other languages,"LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Other languages!!Speak English less than ""very well""",ANCESTRY,ANCESTRY!!Total population,ANCESTRY!!Total population!!American,ANCESTRY!!Total population!!Arab,ANCESTRY!!Total population!!Czech,ANCESTRY!!Total population!!Danish,ANCESTRY!!Total population!!Dutch,ANCESTRY!!Total population!!English,ANCESTRY!!Total population!!French (except Basque),ANCESTRY!!Total population!!French Canadian,ANCESTRY!!Total population!!German,ANCESTRY!!Total population!!Greek,ANCESTRY!!Total population!!Hungarian,ANCESTRY!!Total population!!Irish,ANCESTRY!!Total population!!Italian,ANCESTRY!!Total population!!Lithuanian,ANCESTRY!!Total population!!Norwegian,ANCESTRY!!Total population!!Polish,ANCESTRY!!Total population!!Portuguese,ANCESTRY!!Total population!!Russian,ANCESTRY!!Total population!!Scotch-Irish,ANCESTRY!!Total population!!Scottish,ANCESTRY!!Total population!!Slovak,ANCESTRY!!Total population!!Subsaharan African,ANCESTRY!!Total population!!Swedish,ANCESTRY!!Total population!!Swiss,ANCESTRY!!Total population!!Ukrainian,ANCESTRY!!Total population!!Welsh,ANCESTRY!!Total population!!West Indian (excluding Hispanic origin groups),COMPUTERS AND INTERNET USE,COMPUTERS AND INTERNET USE!!Total households,COMPUTERS AND INTERNET USE!!Total households!!With a computer,COMPUTERS AND INTERNET USE!!Total households!!With a broadband Internet subscription
ZCTA5 89010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Estimate,,165,96,15,0,0,38,0,38,23,31,0,18,11,15,99,2.15,2.74,,355,165,99,0,78,13,0,,158,17,98,0,0,43,170,23,120,0,7,20,,0,0,0,0,-,0,0,,0,0,,0,0,0,0,0,0,0,,45,4,6,17,0,18,,319,0,20,67,82,36,91,23,299,114,,328,64,,355,62,27,0,175,7,153,55,,355,317,38,38,13,25,0,25,0,,355,309,309,50,259,0,46,,46,16,30,,46,0,0,0,46,0,46,,46,0,0,0,0,46,0,,351,280,71,30,71,30,0,0,0,0,0,0,,355,28,0,0,10,0,94,0,0,28,14,0,40,0,0,0,0,0,26,12,27,0,0,6,0,0,0,0,,165,163,138
    Margin of Error,,±58,±45,±18,±13,±13,±28,±13,±28,±25,±23,±13,±17,±13,±18,±41,±0.44,±0.47,,±127,±58,±45,±13,±54,±13,±13,,±57,±17,±45,±13,±13,±28,±72,±25,±61,±13,±12,±17,,±13,±13,±582,±486,**,"±1,000",±531,,±13,±13,,±13,±13,±13,±13,±13,±13,±13,,±51,±6,±9,±21,±13,±30,,±110,±13,±26,±38,±39,±33,±58,±20,±100,±64,,±114,±41,,±127,±32,±28,±13,±84,±10,±62,±34,,±127,±120,±31,±31,±12,±27,±13,±27,±13,,±127,±111,±111,±38,±109,±13,±55,,±55,±18,±53,,±55,±13,±13,±13,±55,±13,±55,,±55,±13,±13,±13,±13,±55,±13,,±126,±101,±81,±53,±81,±53,±13,±13,±13,±13,±13,±13,,±127,±33,±13,±13,±12,±13,±58,±13,±13,±17,±22,±13,±28,±13,±13,±13,±13,±13,±35,±15,±33,±13,±13,±7,±13,±13,±13,±13,,±58,±58,±53
    Percent,,165,0.582,0.091,0,0,0.23,0,0.23,0.139,0.188,0,0.109,0.067,0.091,0.6,(X),(X),,355,0.465,0.279,0,0.22,0.037,0,,158,0.108,0.62,0,0,0.272,170,0.135,0.706,0,0.041,0.118,,0,-,(X),(X),(X),(X),(X),,0,-,,-,-,-,-,0,-,-,,45,0.089,0.133,0.378,0,0.4,,319,0,0.063,0.21,0.257,0.113,0.285,0.072,0.937,0.357,,328,0.195,,355,0.175,27,0,175,0.04,153,0.359,,355,0.893,0.107,0.107,0.037,0.07,0,0.07,0,,355,0.87,0.87,0.141,0.73,0,0.13,,46,0.348,0.652,,46,0,-,-,46,0,1,,46,0,0,0,0,1,0,,351,0.798,0.202,0.085,0.202,0.085,0,0,0,0,0,0,,355,0.079,0,0,0.028,0,0.265,0,0,0.079,0.039,0,0.113,0,0,0,0,0,0.073,0.034,0.076,0,0,0.017,0,0,0,0,,165,0.988,0.836
    Percent Margin of Error,,(X),±18.2,±10.0,±20.2,±20.2,±14.8,±20.2,±14.8,±14.2,±11.9,±20.2,±9.4,±7.5,±10.0,±16.5,(X),(X),,(X),±9.3,±7.3,±10.0,±10.7,±3.5,±10.0,,(X),±9.5,±16.4,±20.9,±20.9,±16.0,(X),±12.7,±20.3,±19.7,±6.9,±9.4,,(X),**,(X),(X),(X),(X),(X),,(X),**,,**,**,**,**,(X),**,**,,(X),±14.2,±21.6,±11.2,±47.5,±33.3,,(X),±11.1,±7.2,±9.6,±11.3,±9.5,±14.3,±5.5,±7.2,±14.5,,(X),±10.6,,(X),±9.7,(X),±61.3,(X),±6.6,(X),±17.5,,(X),±7.9,±7.9,±7.9,±3.7,±6.9,±10.0,±6.9,±10.0,,(X),±13.4,±13.4,±10.7,±15.8,±10.0,±13.4,,(X),±53.9,±53.9,,(X),(X),**,**,(X),±47.0,±47.0,,(X),±47.0,±47.0,±47.0,±47.0,±47.0,±47.0,,(X),±18.9,±18.9,±13.8,±18.9,±13.8,±10.1,±10.1,±10.1,±10.1,±10.1,±10.1,,(X),±8.9,±10.0,±10.0,±3.3,±10.0,±14.5,±10.0,±10.0,±5.3,±6.3,±10.0,±7.7,±10.0,±10.0,±10.0,±10.0,±10.0,±9.3,±4.1,±8.6,±10.0,±10.0,±2.0,±10.0,±10.0,±10.0,±10.0,,(X),±2.1,±14.1
ZCTA5 89019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Estimate,,1198,535,102,12,0,417,0,397,102,234,15,121,86,120,478,1.96,2.61,,2353,1198,562,15,367,75,136,,1205,275,571,25,242,92,998,185,561,0,180,72,,0,0,0,0,0,0,0,,6,6,,0,6,0,0,6,3,6,,250,0,13,112,59,66,,1982,63,181,633,584,96,293,132,1738,425,,2129,490,,2338,467,209,0,1498,216,631,251,,2355,1958,397,397,343,54,0,54,0,,2355,2032,1986,441,1545,46,323,,323,112,211,,369,46,0,46,323,156,167,,323,23,169,65,0,66,0,,2328,1922,406,110,125,22,83,21,133,24,65,43,,2355,139,0,0,0,30,19,63,0,483,0,0,72,150,0,52,0,38,0,74,17,0,65,0,0,0,54,13,,1198,1177,1070
    Margin of Error,,±315,±148,±51,±19,±13,±280,±13,±282,±88,±109,±22,±70,±66,±54,±155,±0.34,±0.25,,±489,±315,±150,±22,±166,±108,±120,,±299,±141,±147,±34,±271,±64,±296,±146,±149,±13,±115,±54,,±13,±13,±253,±87,±517,±367,±117,,±10,±10,,±13,±10,±13,±13,±10,±5,±10,,±128,±13,±19,±58,±45,±68,,±452,±51,±112,±270,±180,±82,±293,±92,±439,±303,,±477,±151,,±486,±177,±89,±13,±418,±150,±232,±158,,±489,±473,±172,±172,±154,±50,±13,±50,±13,,±489,±462,±441,±238,±462,±75,±137,,±137,±77,±86,,±151,±75,±13,±75,±137,±104,±94,,±137,±27,±74,±103,±13,±51,±13,,±491,±449,±168,±81,±106,±27,±61,±24,±62,±34,±103,±68,,±489,±55,±13,±13,±13,±31,±30,±81,±13,±272,±13,±13,±64,±104,±13,±75,±13,±63,±13,±84,±29,±13,±103,±13,±13,±13,±55,±19,,±315,±315,±308
    Percent,,1198,0.447,0.085,0.01,0,0.348,0,0.331,0.085,0.195,0.013,0.101,0.072,0.1,0.399,(X),(X),,2353,0.509,0.239,0.006,0.156,0.032,0.058,,1205,0.228,0.474,0.021,0.201,0.076,998,0.185,0.562,0,0.18,0.072,,0,-,(X),(X),(X),(X),(X),,6,1,,0,1,0,0,6,0.5,1,,250,0,0.052,0.448,0.236,0.264,,1982,0.032,0.091,0.319,0.295,0.048,0.148,0.067,0.877,0.214,,2129,0.23,,2338,0.2,209,0,1498,0.144,631,0.398,,2355,0.831,0.169,0.169,0.146,0.023,0,0.023,0,,2355,0.863,0.843,0.187,0.656,0.02,0.137,,323,0.347,0.653,,369,46,0,1,323,0.483,0.517,,323,0.071,0.523,0.201,0,0.204,0,,2328,0.826,0.174,0.047,0.054,0.009,0.036,0.009,0.057,0.01,0.028,0.018,,2355,0.059,0,0,0,0.013,0.008,0.027,0,0.205,0,0,0.031,0.064,0,0.022,0,0.016,0,0.031,0.007,0,0.028,0,0,0,0.023,0.006,,1198,0.982,0.893
    Percent Margin of Error,,(X),±15.5,±5.2,±1.6,±3.1,±16.6,±3.1,±17.1,±7.9,±8.4,±1.7,±5.5,±5.1,±5.3,±13.8,(X),(X),,(X),±8.6,±5.2,±0.9,±6.6,±4.4,±4.7,,(X),±10.5,±13.6,±3.0,±19.8,±5.7,(X),±10.3,±13.7,±3.7,±9.6,±5.5,,(X),**,(X),(X),(X),(X),(X),,(X),±100.0,,±100.0,±100.0,±100.0,±100.0,(X),±21.7,±100.0,,(X),±13.9,±7.4,±17.3,±11.5,±21.0,,(X),±2.7,±5.5,±10.8,±8.3,±4.0,±13.7,±4.8,±6.0,±13.9,,(X),±6.4,,(X),±7.1,(X),±16.4,(X),±8.0,(X),±21.8,,(X),±7.3,±7.3,±7.3,±6.6,±2.1,±1.6,±2.1,±1.6,,(X),±5.5,±5.6,±9.9,±12.4,±3.0,±5.5,,(X),±14.5,±14.5,,(X),(X),±47.0,±47.0,(X),±22.3,±22.3,,(X),±8.6,±22.3,±26.6,±10.9,±14.9,±10.9,,(X),±6.6,±6.6,±3.2,±4.4,±1.2,±2.8,±1.0,±2.3,±1.4,±4.3,±2.8,,(X),±2.5,±1.6,±1.6,±1.6,±1.3,±1.3,±3.4,±1.6,±11.0,±1.6,±1.6,±2.9,±4.6,±1.6,±3.2,±1.6,±2.7,±1.6,±3.6,±1.3,±1.6,±4.3,±1.6,±1.6,±1.6,±2.4,±0.7,,(X),±2.8,±6.1
ZCTA5 89060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Estimate,,5163,2486,831,301,72,1208,0,743,467,1168,80,813,425,1365,2790,2.38,2.88,,12297,5163,2364,315,2506,817,1132,,5666,1945,2655,81,404,581,5397,1208,2600,87,716,786,,129,68,60,64,157,69,13,,453,183,,92,50,8,33,183,142,183,,1613,117,26,778,563,129,,10121,377,1256,3742,3023,598,755,370,8488,1125,,10642,1667,,12305,3009,2141,235,6307,1161,3857,1613,,12707,11080,1627,1627,858,769,481,288,0,,12783,11648,11482,2900,8582,166,1135,,1135,699,436,,1301,166,109,57,1135,137,998,,1135,180,151,0,0,804,0,,12219,10386,1833,654,1435,617,245,16,139,18,14,3,,12783,458,57,56,55,463,1367,280,71,2434,11,53,1249,774,40,199,340,0,48,85,257,10,0,124,67,0,148,0,,5163,4591,4038
    Margin of Error,,±473,±400,±302,±115,±63,±270,±20,±185,±154,±235,±112,±224,±156,±303,±358,±0.18,±0.18,,"±1,206",±473,±341,±119,±514,±328,±544,,±622,±426,±371,±67,±176,±195,±526,±259,±419,±105,±229,±209,,±88,±72,±64,±43,±159,±75,±25,,±202,±93,,±60,±55,±17,±63,±93,±70,±93,,±421,±83,±35,±389,±195,±83,,±967,±190,±324,±529,±603,±163,±247,±142,±913,±298,,"±1,006",±368,,"±1,207",±593,±480,±147,±773,±379,±490,±336,,"±1,225","±1,126",±456,±456,±364,±269,±214,±172,±20,,"±1,225","±1,185","±1,176",±539,±951,±120,±367,,±367,±228,±215,,±399,±120,±108,±45,±367,±74,±371,,±367,±102,±102,±20,±20,±336,±20,,"±1,213","±1,159",±453,±382,±403,±375,±128,±25,±108,±27,±25,±12,,"±1,225",±171,±64,±64,±45,±252,±423,±153,±68,±527,±19,±44,±410,±268,±43,±189,±211,±20,±42,±86,±176,±17,±20,±101,±45,±20,±128,±20,,±473,±499,±494
